"name","title","params_text"
AP,ACH,<p>Automated Clearing House<\/p>\n<p>&nbsp;<\/p>
AP,Adjustment Form,"\n    A function of AP, if there is anything that we need to pay back whether its for invoices, PO gain, RM\n"
AP,Allow Amount,Allow amount only appears on the PO of Expense invoices. Allow amount is the maximum amount of EXP PO
AP,AP Auto Payback,A tool that analyst can use it to do payback for debit of short\/miss shipments.
AP,AP Hold Query,AP Hold Query
AP,AP Link,AP Vendor Maintenance
AP,AP Voucher Query,"<p>Query for Receiving Status. Use this function to view details of a vouched document, type the documen<\/p>"
AP,AP Vouchering,Description: Authorized Accounts Payable Associates use the AP Vouchering Screen for posting document
AP,CAD,The Canadian currency. Short for the Canadian dollar sign $C.
AP,Claim Reason ,"the reason why do claim. According to traffic rules, when report the claim issue to carrier, must has"
AP,Claimant,"The person\/organization who doing claim. when filing claim, the member who present the organization t"
AP,Credit Card Account,BOA credit card procedure
AP,Customs Duty,Customs Duty is a tariff or tax imposed on goods when transported across international borders. The p
AP,Cut $0 Check,cut $0 check
AP,Debit,Debit
AP,Dispute,Ask credits from vendor for DM and VR items
AP,DND,Its a symbol that control debits will not be deducted at certain time.
AP,Doc #,<p>A sequential number issued by CIS to identify the document. And we can check the document number to g<\/p>
AP,Double Bill,Double Bill is vendor billed same units same parts for same PO twice on different invoices.
AP,FIFO,"<p>first-in, first-out<\/p>"
AP,Freight In ,freight in
AP,Freight Out,freight out
AP,Freight Term,Freight term
AP,IBF,"The vendor which belongs to Iron Bow, but SYNNEX helps them to book, provides payment information and"
AP,Inbound Claim,<p>inbound is one of two basic shipping direction (inbound and outbound). Inbound means the products shi<\/p>
AP,Inv Approver,Inv Approver
AP,Invoice Type,<p>invoice type<\/p>
AP,LIFO,LIFO
AP,LVS,<p>Low Value Shipments. There are many shipments from US to CA. For the shipments with low value&nbsp;<\/p>
AP,NOPO Type,\n    A type of invoice need to process without expense PO.\n
AP,Offset DM,Offset Debit Memo
AP,Outbound Claim,<p>outbound is one of two basic shipping direction (inbound and outbound).<\/p>
AP,Outstanding Check,"<p>The check we didn't send to vendor yet , need manager sign for it .<\/p>"
AP,PB,payback
AP,PG,<p>PO gain<\/p>
AP,PMT TYPE,"<p>PMT TYPE is to distinguish if payments are going to be paid by CK or thru ACH\/Wire, you can check the<\/p>"
AP,Prepaid Expenses,"For prepaid vendor, we will pay for the product what we ordered before we received them. We will save"
AP,Price Drop In transit,<p>The price of product has been dropped before TD SYNNEX rec\u2019d.<\/p>
AP,RMD,<p>Requiring Minimal Documentation. It is a kind of file format.<\/p>
AP,Tax Certificate,Tax Certificate
AP,TEMP Invoices,<p>A type of invoice need to pay the salary by weekly for the employee who works in our warehouse.&nbsp;<\/p>
AP,Weekly POS Report,weekly point of sale report
AP,AP Aging,""
AP,Discrepancy,The resolution ways to fix difference between invoice and purchase order
AP,Early Payment Discount,Early Payment Discount
AP,Pay High,"When vendor invoice billed price is higher than PO received, we pay the invoice as billed price if it"
AP,APCM,<p>APCM is for drop shipments that either customer refused shipment or returned them to SYNNEX. The anal<\/p>
AP,COO,"<p>Country of original. When doing&nbsp;LVS entry , we need to know which country the goods are made in.<\/p>"
AP,Discount,Vendor can allow us to short pay some money if we can issue payment ahead based on the contract.
AP,EDI Invoice,<p>An EDI 810 Invoice is an electronic version of a paper invoice or bill. EDI stands for Electronic Dat<\/p>
AP,Pay Date,<p>Pay Date: The date that we issue payment for vendor billed invoice.<\/p>
AP,Pay Terms,To calculate when we need to issue payment to vendor.
AP,Payment,Payment
AR & Credit,Bank Statement,different bank statments and GL acct accordingly
AR & Credit,Bill Only,need to bill
AR & Credit,Bill To Address,Bill To Address
AR & Credit,CAC,screenshots
AR & Credit,Charge Back Form,Charge Back Form
AR & Credit,Clearance Sales Order (OT 20),Clearance Sales Order
AR & Credit,Collections,Collections
AR & Credit,Consignment,<p>Consignment<\/p>
AR & Credit,Credit Investigation,screenshots
AR & Credit,Credit Limit,screenshots
AR & Credit,Credit Review,flowchart
AR & Credit,Customer History Query,Customer History Query
AR & Credit,Customer Notes,<p>Customer Notes<\/p>
AR & Credit,Customer Term,Acct terms:
AR & Credit,Doc Date,doc date \/ inv date
AR & Credit,Drop Ship,<p>shipped from the vendor<\/p>
AR & Credit,Due Date,Customer need pay within due date
AR & Credit,Expense Code,Expense Code
AR & Credit,Flooring Company,Flooring Company
AR & Credit,Packing Slip,Packing Slip \/ Packing list
AR & Credit,POR,Proof of Return
AR & Credit,Reason Code,reason code
AR & Credit,Statement,statement
AR & Credit,Total AR Balance,Total AR Balance
AR & Credit,Tracking,tracking number
AR & Credit,Unit Price,Unit Price
AR & Credit,Write Off Form,write off form
AR & Credit,Zip Zone,Zip Zone
AR & Credit,FRT,Freight
AR & Credit,Major Account,important and big account
AR & Credit,Past Due,Past Due
AR & Credit,POD,POD
AR & Credit,Refuse Shipment,Customer refused to accept the product(s) shipped from SYNNEX and product(s) returned back to us. Thi
AR & Credit,Advance Swap,Advance Swap (OT 11)
AR & Credit,AR Aging,<p>AR Aging<\/p>
AR & Credit,AR Open Items,Overall screen of account current status
AR & Credit,DFI,Deduct From Invoice
AR & Credit,EDI,Electronic Data Interchange
AR & Credit,End User,End User
AR & Credit,Expense Type,Expense Type
AR & Credit,FADD,Freight ADDer
AR & Credit,FDS,Freight Discounts
AR & Credit,GL,General Ledger
AR & Credit,GM,GM
AR & Credit,MOF,"Minimum Order Fee charged to customers, based on the MOF fee policy set-up and maintained by Sales"
AR & Credit,Order Type,order type
AR & Credit,Part Number,Part Number
AR & Credit,Sku No,"In SYNNEX, it is a seven-digit numeric number assigned by then system when creating new parts, it is"
AR & Credit,Unit Cost,Unit Cost
AR & Credit,MyCIS CAC,Mycis CAC
VCM,SCM,"<p>The environment in which TD SYNNEX establishes, tracks and manages soft cost dollars involving vendor re<\/p>"
VCM,PP,Price Protection
VCM,"336/337 Report",<p>336\/337 Report; inventory report<\/p>
VCM,Auto SPA/Manual SPA ,{
VCM,Backend Claim,<p>Backend&nbsp;Rebate<\/p>
VCM,Backup Document (Vendor Document),backup doc
VCM,Bid Effective Date,Bid effective date
VCM,Bliz Day Product Rebate,<p>Blitz Day Rebate<\/p>
VCM,Bundle Discount,Bundle Discount
VCM,Buy In Rebate,<p>Buy in rebate<\/p>
VCM,Charge Back Sales,<p>Charge Back Sales<\/p>
VCM,Claim / Dispute Window,Claim\/Dispute Window
VCM,Claim Reverse,<p>Claim Reverse<\/p>
VCM,Cost Change,<p>Cost Change<\/p>
VCM,Credit Vouch,<p>Credit Vouch<\/p>
VCM,Customer / Enduser Mismatch,<p>Customer Enduser Mismatch<\/p>
VCM,Customer PP,<p>Customer PP<\/p>
VCM,Demo Pricing,<p>DEMO<\/p>
VCM,Dispute Package,Dispute Package
VCM,Extra Claim,<p>Extra claim<\/p>
VCM,Follow Up Payment,Follow up Payment
VCM,Full PP,Full PP
VCM,Fund / Usage transfer,Fund or Usage transfer
VCM,Government Rebate,<p>Government Rebate<\/p>
VCM,HP Big Deal,HP Big Deal
VCM,HP NBO,HP NBO
VCM,HP Serial Number Issue,HP Serial number issue
VCM,P1 Internal Margin Hit,<p>P1 Internal Margin Hit<\/p>
VCM,Invalid Bid,Invalid Bid
VCM,Inventory Write-Up SCM,Inventory Write-up
VCM,LB,<p>LB = Look Back<\/p>
VCM,Marketing Fund,<p>Marketing Fund<\/p>
VCM,Open Order,Open Order
VCM,Over Usage,<p>Over Usage<\/p>
VCM,Overpayment,Overpayment
VCM,Payback,Payback
VCM,P1 Online PM Claim Report,<p>Product Manager Online Report<\/p>
VCM,POS Rebate,<p>POS rebate is one of the claim types in SYNNEX System. It\u2019s also called \u2018Instant Rebate\u2019 on some vend<\/p>
VCM,Post Claim,Post Claim
VCM,Reseller,reseller
VCM,RMA Reserve,RMA Reserve
VCM,SCM Approval,SCM Approval
VCM,SCM Combinability,<p>SCM Combinability<\/p>
VCM,Sell Out Rebate,<p>sell out rebate<\/p>
VCM,SO Usage,SO usage
VCM,SPA / SCM Not Working,SPA \/SCM Not Working
VCM,SPA Active,<p>SPA Active<\/p>
VCM,SPA Rebate,SPA Rebate is one of the claim types in SYNNEX System. Its full mane is \u201cSpecial Pricing Approval Reb
VCM,Spiff Calculation,Spiff Calculation
VCM,Frontend Claim,<p>Frontend&nbsp;Claim<\/p>
VCM,USD Vendor vs. CAD vendor,<p>USD vendor vs. CAD vendor<\/p>
VCM,Vendor,<p>vendor<\/p>
VCM,Vendor Audit,Vendor Audit
VCM,Vendor CB,<p>Vendor Charge Back<\/p>
VCM,Vendor Credit Memo,Vendor Credit Memo
VCM,Vendor Reserve,Vendor Reserve
VCM,VIR SCM Tracking,<p>VIR SCM Tracking<\/p>
VCM,P1 SCM,<p>P1 SCM<\/p>
VCM,P1 SPA,<p>P1 spa<\/p>
VCM,Claim Type,Claim Type
VCM,Credit Memo (CM),<p>Credit Memo<\/p>
VCM,Debit Memo (DM),<p>Debit Memo<\/p>
VCM,Pass Through To Customer Rebate,<p>Pass Thru to Customer Rebate<\/p>
VCM,Claimable Amount,Claimable Amount
VCM,SCM SO Budget Amount,<p>SCM&nbsp;SO Budget Amount<\/p>
VCM,TAX,<p>TAX<\/p>
VCM,VIR,<p>Volume Incentive Rebate<\/p>
IMT,UPC,UPC code general
IMT,"3RDSRVC","3RDSRVC"
IMT,ADS,ADS
IMT,ADS Code,ADS Code
IMT,ADS Group,ADS Group
IMT,ADS Group 1,ADS Group 1
IMT,ADS Group 2,ADS Group 2
IMT,ADS Group 3,ADS Group 3
IMT,ADS Group 4,ADS Group 4
IMT,ADS Group 5,ADS Group 5
IMT,ADS Group 6,ADS Group 6
IMT,Asus ROG,Asus ROG
IMT,AV Tuner Cards,AV Tuner Cards
IMT,Bare-Bone Computers,Bare-Bone Computer
IMT,Base Warranty,Base Warranty
IMT,Batteries,Battery
IMT,Brochure/Newsletter,Brochure\/Newsletter
IMT,Bullet,Bullet
IMT,Bundle,Bundle
IMT,C(Combination),C(Combination)
IMT,Cache Memory Upgrades,Cache Memory Upgrades
IMT,CD R/RW,<p>CD R\/RW<\/p>
IMT,CD ROM; DVD ROM Drives,CD DVD ROM Drive
IMT,CD-R/RW; DVD-R/RW Drives,CD-R\/RW; DVD-R\/RW Drives
IMT,ChromeBook,ChromeBook
IMT,Cleaning Accessories,Cleaning Accessories
IMT,CMOS,CMOS Complementary metal\u2013oxide\u2013semiconductor
IMT,Communication Servers,Communication Servers
IMT,Connected Handhelds Accessories,Connected Handhelds Accessories
IMT,Connected Handhelds Cases,Connected Handhelds Cases
IMT,Contnet Of Package,Content Of Package
IMT,Customer No.,Customer No.
IMT,Default Coverage,Default Coverage
IMT,Desktop Cases,Desktop Cases
IMT,Desktop Computers,Desktop Computers
IMT,Desktop/Server Memory,Desktop Server Memory ECC
IMT,Dot Matrix Printers,Dot matrix printers
IMT,Drive/Media Cleaners,Drive\/Media Cleaners
IMT,Duration ,Duration
IMT,Edition,Edition
IMT,ENERGY STAR,ENERGY STAR
IMT,EPEAT,EPEAT Electronic Product Environmental Assessment Tool
IMT,E-Readers,E-Readers
IMT,ESRB,ESRB
IMT,Exchange Service,Exchange Service
IMT,Fax Machines,Fax Machines
IMT,Fax Servers,Fax Servers
IMT,Fingerprint Identification,Fingerprint Identification Latent
IMT,Firewire Cards,Firewire Cards
IMT,Firewire Hubs,Firewire Hub USB IEEE 1394
IMT,Gamepads,Gamepads
IMT,Glare Screen,Glare Screen
IMT,Graphic Tablets,Graphic Tablets
IMT,GWG,"GWG, Global Warranty Group"
IMT,Headliner,Headliner
IMT,I(Inactive),I(Inactive)
IMT,I/O Cards,I\/O Cards
IMT,IDE/EIDE - I/O Controllers,IDE\/EIDE - I\/O Controllers
IMT,Ink Jet Cartridges,Ink Jet Cartridges
IMT,Inkjet MF Printers,<p>Inkjet Multifunction Printer MFP<\/p>
IMT,Inkjet SF Printers,Inkjet SF Printers
IMT,IPS,IPS
IMT,Itanium,Itanium CPU Processor Intel
IMT,Joysticks,Joysticks
IMT,Keyboard Drawers,"Keyboard Drawers, KVM"
IMT,Keyboards,Keyboards
IMT,Keywords,Keywords
IMT,Label Printer Tapes,Label Printer Tapes
IMT,Label Printers,Label Printers
IMT,Laptop Cases,Laptop Cases
IMT,Large Format Commercial Displays,Large Format Commercial Displays
IMT,Laser MF Printers,Laser MF Printers
IMT,Laser SF Printers,Laser SF Printers
IMT,Laser Toner,Laser Toner
IMT,LCD Panels,LCD Panels
IMT,LifeSize ,LifeSize
IMT,Long Description,Long Description Technote
IMT,Master Flag,Master Flag
IMT,Mice,Mice Mouse
IMT,Model#,Model#
IMT,Monitor Stands/Arms,Monitor Stands\/Arms
IMT,Monitors,Monitors
IMT,Motherboards,Motherboards
IMT,Mouse Pads,Mouse Pads
IMT,MSRP Flag,MSRP Flag
IMT,Multifunction,Multifunction
IMT,Multi-Line Serial I/O,Multi-Line Serial I\/O
IMT,Net/Comm Memory Upgrades,Net\/Comm Memory Upgrades
IMT,Network Storage,Network Storage NAS SAN
IMT,Networked Content Devices,Networked Content Devices
IMT,Notebook Batteries,Notebook Batteries
IMT,Notebook Computers,Notebook Computers Laptop
IMT,Notebook Memory,Notebook Memory SO-DIMM
IMT,NR,Term NR
IMT,OEM,OEM
IMT,OS,OS
IMT,Other Connectors,Other Connectors
IMT,Other Entertainment Devices,Other Entertainment Devices
IMT,Other Multimedia Accessories,Other Multimedia Accessories
IMT,Other Pointing Devices,Other Pointing Devices
IMT,Other Portable Accessories,Other Portable Accessories
IMT,Other Presentation Accessories,Other Presentation Accessories
IMT,Other Printer Accessories,Other Printer Accessories
IMT,Other Printers,Other Printers
IMT,P(Product),P(Product)
IMT,Pallet,Pallet
IMT,Part Status,Part Status
IMT,PCMCIA I/O Adapters,PCMCIA I\/O Adapters
IMT,PDA,PDA personal digital assistant
IMT,Peripheral Cables,Peripheral Cables
IMT,Personal Organizers,Personal Organizers
IMT,PIM ID,PIM Personal information management
IMT,Port Replicator,Port Replicator
IMT,POS PCs,POS PCs
IMT,Power Distribution Units ,Power Distribution Unit PDU
IMT,Power Pack,Power Pack
IMT,Power Supplies,Power Supply Battery
IMT,Presentation Devices,Presentation Devices projector transparencies
IMT,Printer Memory,Printer Memory
IMT,Printer Stands,Printer Stand
IMT,Program Type,Program Type
